name,date,time,value
pm10,1/9/2009,3:00:00,7.33E-10
U10M,1/9/2009,3:00:00,1.09494
V10M,1/9/2009,3:00:00,-1.99754
T2M,1/9/2009,3:00:00,287.675
D2M,1/9/2009,3:00:00,282.603
pm1,1/9/2009,6:00:00,5.03E-10
pm2p5,1/9/2009,6:00:00,6.11E-10
pm10,1/9/2009,6:00:00,8.54E-10
U10M,1/9/2009,6:00:00,1.39352
V10M,1/9/2009,6:00:00,-2.52117
T2M,1/9/2009,6:00:00,287.436
D2M,1/9/2009,6:00:00,282.102
pm1,1/9/2009,9:00:00,5.60E-10
pm2p5,1/9/2009,9:00:00,6.60E-10
pm10,1/9/2009,9:00:00,9.38E-10
U10M,1/9/2009,9:00:00,0.328226
V10M,1/9/2009,9:00:00,-2.31475
T2M,1/9/2009,9:00:00,288.557
D2M,1/9/2009,9:00:00,285.54
pm1,1/9/2009,12:00:00,6.45E-09
pm2p5,1/9/2009,12:00:00,7.52E-09
pm10,1/9/2009,12:00:00,1.05E-08
U10M,1/9/2009,12:00:00,-0.795945
V10M,1/9/2009,12:00:00,-1.46862
T2M,1/9/2009,12:00:00,287.884
D2M,1/9/2009,12:00:00,285.197
pm1,1/9/2009,15:00:00,8.02E-09
pm2p5,1/9/2009,15:00:00,9.44E-09
pm10,1/9/2009,15:00:00,1.31E-08
U10M,1/9/2009,15:00:00,-2.06661
V10M,1/9/2009,15:00:00,-0.457045
T2M,1/9/2009,15:00:00,287.773
D2M,1/9/2009,15:00:00,285.596
pm1,1/9/2009,18:00:00,1.00E-08
pm2p5,1/9/2009,18:00:00,1.20E-08
pm10,1/9/2009,18:00:00,1.67E-08
U10M,1/9/2009,18:00:00,-2.64632
V10M,1/9/2009,18:00:00,-0.217318
T2M,1/9/2009,18:00:00,286.939
D2M,1/9/2009,18:00:00,284.058
pm1,1/9/2009,21:00:00,9.10E-09
pm2p5,1/9/2009,21:00:00,1.12E-08
pm10,1/9/2009,21:00:00,1.56E-08
U10M,1/9/2009,21:00:00,-3.28913
V10M,1/9/2009,21:00:00,-0.913916
T2M,1/9/2009,21:00:00,287.308
D2M,1/9/2009,21:00:00,283.25
pm1,1/10/2009,0:00:00,9.88E-09
pm2p5,1/10/2009,0:00:00,1.22E-08
pm10,1/10/2009,0:00:00,1.68E-08
U10M,1/10/2009,0:00:00,-3.08189
V10M,1/10/2009,0:00:00,-2.28477
T2M,1/10/2009,0:00:00,287.63
D2M,1/10/2009,0:00:00,279.897
pm1,1/10/2009,3:00:00,6.71E-09
pm2p5,1/10/2009,3:00:00,8.34E-09
pm10,1/10/2009,3:00:00,1.17E-08
U10M,1/10/2009,3:00:00,-3.97503
V10M,1/10/2009,3:00:00,-2.42805
T2M,1/10/2009,3:00:00,286.322
D2M,1/10/2009,3:00:00,277.165
pm1,1/10/2009,6:00:00,4.94E-09
pm2p5,1/10/2009,6:00:00,6.09E-09
pm10,1/10/2009,6:00:00,8.60E-09
U10M,1/10/2009,6:00:00,-4.4282
V10M,1/10/2009,6:00:00,-1.28984
T2M,1/10/2009,6:00:00,285.622
D2M,1/10/2009,6:00:00,275.841
pm1,1/10/2009,9:00:00,5.76E-09
pm2p5,1/10/2009,9:00:00,6.95E-09
pm10,1/10/2009,9:00:00,9.87E-09
U10M,1/10/2009,9:00:00,-4.22156
V10M,1/10/2009,9:00:00,-0.349905
T2M,1/10/2009,9:00:00,287.571
D2M,1/10/2009,9:00:00,279.275
pm1,1/10/2009,12:00:00,2.07E-08
pm2p5,1/10/2009,12:00:00,2.46E-08
pm10,1/10/2009,12:00:00,3.48E-08
U10M,1/10/2009,12:00:00,-3.3926
V10M,1/10/2009,12:00:00,0.153362
T2M,1/10/2009,12:00:00,286.002
D2M,1/10/2009,12:00:00,281.951
pm1,1/10/2009,15:00:00,2.05E-08
pm2p5,1/10/2009,15:00:00,2.42E-08
pm10,1/10/2009,15:00:00,3.41E-08
U10M,1/10/2009,15:00:00,-2.6713
V10M,1/10/2009,15:00:00,1.28937
T2M,1/10/2009,15:00:00,286.01
D2M,1/10/2009,15:00:00,282.786
pm1,1/10/2009,18:00:00,2.16E-08
pm2p5,1/10/2009,18:00:00,2.57E-08
pm10,1/10/2009,18:00:00,3.61E-08
U10M,1/10/2009,18:00:00,-1.28945
V10M,1/10/2009,18:00:00,1.2608
T2M,1/10/2009,18:00:00,286.244
D2M,1/10/2009,18:00:00,282.553
pm1,1/10/2009,21:00:00,2.24E-08
pm2p5,1/10/2009,21:00:00,2.66E-08
pm10,1/10/2009,21:00:00,3.74E-08
U10M,1/10/2009,21:00:00,-0.894799
V10M,1/10/2009,21:00:00,0.464849
T2M,1/10/2009,21:00:00,286.386
D2M,1/10/2009,21:00:00,283.107
pm1,1/11/2009,0:00:00,5.66E-09
pm2p5,1/11/2009,0:00:00,1.01E-08
pm10,1/11/2009,0:00:00,1.40E-08
U10M,1/11/2009,0:00:00,0.675596
V10M,1/11/2009,0:00:00,0.179111
T2M,1/11/2009,0:00:00,287.917
D2M,1/11/2009,0:00:00,283.557
pm1,1/11/2009,3:00:00,6.94E-09
pm2p5,1/11/2009,3:00:00,1.12E-08
pm10,1/11/2009,3:00:00,1.56E-08
U10M,1/11/2009,3:00:00,1.91556
V10M,1/11/2009,3:00:00,-0.628255
T2M,1/11/2009,3:00:00,287.114
D2M,1/11/2009,3:00:00,282.5
pm1,1/11/2009,6:00:00,9.40E-09
pm2p5,1/11/2009,6:00:00,1.39E-08
pm10,1/11/2009,6:00:00,1.93E-08
U10M,1/11/2009,6:00:00,1.5095
V10M,1/11/2009,6:00:00,-3.089
T2M,1/11/2009,6:00:00,287.132
D2M,1/11/2009,6:00:00,281.457
pm1,1/11/2009,9:00:00,1.35E-08
pm2p5,1/11/2009,9:00:00,1.94E-08
pm10,1/11/2009,9:00:00,2.66E-08
U10M,1/11/2009,9:00:00,-0.714139
V10M,1/11/2009,9:00:00,-4.70124
T2M,1/11/2009,9:00:00,288.115
D2M,1/11/2009,9:00:00,283.753
pm1,1/11/2009,12:00:00,5.59E-09
pm2p5,1/11/2009,12:00:00,7.46E-09
pm10,1/11/2009,12:00:00,1.04E-08
U10M,1/11/2009,12:00:00,-3.98142
V10M,1/11/2009,12:00:00,-4.98626
T2M,1/11/2009,12:00:00,286.305
D2M,1/11/2009,12:00:00,281.107
pm1,1/11/2009,15:00:00,4.91E-09
pm2p5,1/11/2009,15:00:00,6.43E-09
pm10,1/11/2009,15:00:00,9.33E-09
U10M,1/11/2009,15:00:00,-6.66556
V10M,1/11/2009,15:00:00,-5.37113
T2M,1/11/2009,15:00:00,286.059
D2M,1/11/2009,15:00:00,276.726
pm1,1/11/2009,18:00:00,5.69E-09
pm2p5,1/11/2009,18:00:00,7.60E-09
pm10,1/11/2009,18:00:00,1.11E-08
U10M,1/11/2009,18:00:00,-8.37471
